AAPL,MSFT,AMZN,GOOG,GOOGL,TSLA,FB,BABA,TSM,V,JNJ,JPM,WMT,NVDA,PYPL,DIS,MA,PG,UNH,HD,BAC,INTC,ASML,NFLX,CMCSA,ADBE,ABT,TM,VZ,NKE,CRM,KO,XOM,NVS,T,TMO,CSCO,LLY,AVGO,PFE,MRK,ORCL,PEP,ABBV,SHOP,CVX,DHR,ACN,QCOM,TXN,NEE,MDT,MCD,COST,SAP,TMUS,HDB,UL,UNP,HON,UPS,SNE,WFC,AMGN,AZN,NVO,BMY,PM,LIN,C,JD,LOW,SBUX,BA,SQ,SNY,RY,CHTR,MS,NOW,AMD,INTU,HSBC,TOT,RTX,BLK,TD,IBM,CAT,AMAT,GS,EL,SCHW,BUD,^GSPC,Date
22.3547802,46.13761139,574.4799805,701.789978,719.0800171,40.94400024,95.26000214,70.12999725,18.14240837,68.91008759,85.19530487,49.50373459,55.80789185,26.74095345,32.20000076,88.65536499,83.58300781,65.65224457,104.0563126,106.6031952,12.90568733,25.89448357,75.99051666,107.8899994,24.61414909,89.18000031,36.73740005,111.1970062,35.98651505,55.12257004,70.80000305,35.58346176,59.31412888,60.77272034,25.91029358,132.8316345,20.29931068,73.56505585,102.0311508,23.8843174,44.17505646,31.85258675,82.65991974,44.03983688,20.29999924,65.72013092,43.12094879,92.67951965,38.72784042,41.92827988,23.71234512,67.18473816,103.2484055,133.5509186,72.83330536,37.65000153,27.60897064,35.5358963,66.24601746,83.47484589,77.04211426,22.20999908,40.65960693,130.5872803,25.39555359,47.53928757,54.75393295,67.79531097,88.24237061,37.13644028,27.40999985,63.37742996,53.23402786,113.0548172,9.470000267,33.04823685,38.22597122,167.3800049,23.08690643,74.31999969,1.950000048,86.83049774,26.18032837,31.02519989,47.46238708,258.3840332,28.3195858,101.6933823,51.174263,15.29110718,143.9218597,79.31529236,24.87576866,103.3746643,1881.329956,19-01-2016
22.38484192,46.34749603,571.7700195,698.4500122,718.5599976,39.74000168,94.34999847,68.70999908,17.66497612,68.22476196,83.66615295,48.20123672,54.27353287,26.88772202,31.20000076,87.30622864,82.52632904,65.44770813,106.098999,103.6657333,12.40722466,25.71201134,80.66423035,107.7399979,24.32376862,87.94000244,36.31031799,107.8036728,35.62559509,55.80308914,70.33000183,35.12509155,56.81424713,60.39753342,25.45230103,131.0002899,19.49073792,73.02588654,105.2262573,23.86097336,43.49531174,31.29021454,80.9336853,45.76971436,20.53000069,63.68025208,42.813694,90.55862427,38.5933876,42.61519241,23.16248131,67.17571259,101.7370148,132.0864563,72.02446747,37.36000061,26.61875343,34.75985336,65.80793762,82.54000854,75.63513184,21.04000092,40.37285995,133.7980194,25.35435104,47.2622757,55.0484581,66.54743195,87.91883087,35.85251236,26.37999916,62.10914612,51.7520256,109.5392532,9.489999771,33.01549149,37.37540054,170.5099945,22.19016266,74.30999756,1.799999952,87.89104462,25.33336449,29.90228271,47.23409271,256.6261902,27.94241905,96.73215485,50.98354721,15.21674156,141.1043854,78.41700745,23.71220779,100.852066,1859.329956,20-01-2016
22.27152061,46.06460571,575.0200195,706.5900269,726.6699829,39.99399948,94.16000366,70.72000122,17.86599731,69.0741806,83.83218384,47.97547531,55.20129013,27.20082855,31.20000076,88.70251465,83.48607635,66.2158432,104.906662,107.0126572,12.10814571,25.77283478,82.65103912,102.3499985,24.64590454,88,35.87417221,107.4072952,36.788517,57.23974991,69.51000214,35.13357925,57.52851105,59.92479706,25.93281746,129.6513824,19.49073792,71.94755554,105.821106,23.79871178,43.81367874,31.4561615,81.53787231,46.73876572,22.79000092,65.34923553,42.52659607,89.85472107,39.53448868,43.32819366,23.10309601,67.2027359,103.5471573,133.4710541,72.50791168,37.09999847,26.48217201,35.13509369,63.47457886,82.83158875,75.95066071,21.15999985,40.49093246,131.8647003,25.28843498,47.64651871,54.68463898,66.50093842,88.04464722,35.55145264,26.69000053,63.24969101,53.67045212,110.6692657,10.02000046,33.02367401,38.6223526,169.4499969,21.78574371,74.41000366,2.089999914,87.85282898,25.34092712,30.49720383,47.64612961,254.7807159,28.79512596,97.56565857,51.74643707,15.62574005,139.1770782,78.76686096,22.87707329,101.5479507,1868.98999,21-01-2016
23.45563316,47.71628952,596.3800049,725.25,745.460022,40.50999832,97.94000244,70.37000275,18.36856079,70.17458344,84.53995514,49.4516449,55.92386246,27.8368206,31.69000053,91.41963959,85.30857086,66.76824188,105.6738129,109.2736282,12.28940582,26.00744438,85.48933411,100.7200012,25.10416222,89.62999725,36.37393188,112.0960922,37.72687531,57.542202,71.55000305,35.70230484,59.4461174,61.71068573,26.38330078,133.2254791,19.89076996,72.90215302,105.8040848,23.89988518,44.18366623,32.08306885,82.72895813,47.11517334,23.06999969,67.35691071,42.99000168,93.46572113,40.39155579,43.73686981,23.44620514,68.39185333,104.0392532,136.4088745,72.76822662,37.84999847,26.75533676,36.03904724,62.5716095,83.89507294,76.65839386,21.73999977,41.34275818,134.7129364,25.93938828,48.91542816,55.78474808,67.33028412,88.16149139,36.35723877,27.27000046,64.32634735,53.79773331,111.7544174,9.850000381,33.92417145,40.92385101,174.7200012,22.51545143,76.66999817,2.019999981,89.43888855,26.12738991,31.81347275,48.08044052,264.149292,29.91840172,97.24019623,52.86476135,15.84883308,143.9585266,81.02680206,24.23768997,105.2448807,1906.900024,22-01-2016
22.9977169,47.2600174,596.5300293,711.6699829,733.6199951,39.27600098,97.01000214,69.72000122,18.251297,69.24791718,84.23414612,48.33148956,56.60183716,27.80746841,31.46999931,89.90070343,84.11617279,66.32804871,104.7957382,108.338974,11.74562645,25.72069931,84.88382721,99.12000275,24.59600067,86.76999664,36.03773499,109.6405258,37.71886444,57.37207031,69.91999817,35.78718948,57.43534851,61.24544907,26.27818871,132.6543884,19.72054482,72.22155762,105.7870865,23.7364502,43.81367874,31.65897942,82.80664063,46.97102737,23.12999916,65.2202301,42.50141525,93.01778412,39.97982788,43.54558182,23.40661812,68.19365692,104.7422104,133.8260651,72.80541992,37.88999939,27.07727623,35.91113663,61.49881744,82.74585724,76.24909973,21.12999916,40.19574738,132.425705,25.99707031,49.38009644,54.50273514,67.18300629,86.39987183,35.02017212,27.03000069,63.77889633,52.47029495,111.2163162,9.81000042,33.63765335,39.25246429,172.3399963,21.96158028,76.09999847,2.119999886,87.64265442,25.35605431,30.74261284,47.27307129,254.6224213,28.81972122,96.90677643,50.20331192,15.71869755,138.6906281,78.92761993,23.61837006,105.5058365,1877.079956,25-01-2016
23.12491417,47.60678864,601.25,713.039978,733.789978,38.7120018,97.33999634,69.76999664,18.08377457,69.3830719,88.41088867,49.56452179,57.09247971,28.08143044,31.96999931,90.82527161,84.3391571,68.01969147,105.3318481,108.7751465,12.06282997,26.0161438,85.32849884,97.83000183,24.88184357,86.88999939,36.49205399,110.5492783,38.69732666,57.75960541,69.87000275,35.71928024,59.54704285,62.01082993,26.57851219,132.0341339,20.18866348,72.4425354,105.7021255,23.86875725,44.26971436,32.47950363,83.13463593,46.65868759,23.09000015,67.82453918,42.65252686,93.73082733,40.76968002,44.08469391,23.43741798,68.0945816,105.8230209,131.8024292,73.39112854,39.43000031,27.53580284,36.35459137,62.61632919,84.48687744,77.53668213,21.22999954,40.70177841,132.7277985,26.21955109,49.31754684,54.30350494,67.67128754,88.20642853,35.8613739,27,63.87014389,53.28858948,114.8036499,9.539999962,34.17795181,40.12158203,172.1699982,22.40995407,77.95999908,2.069999933,88.51210785,25.77953339,32.02912903,47.69067001,263.0067444,29.6150322,97.31163788,51.28696823,16.12770081,141.7467651,79.0410614,23.88111305,106.6627502,1903.630005,26-01-2016
21.60545349,46.73987961,583.3499756,699.9899902,717.5800171,37.61399841,94.44999695,69.54000092,18.15915871,68.44674683,89.26720428,49.52980042,57.04787827,27.74875832,31.59000015,88.98556519,82.21613312,68.01105499,103.825264,108.2143555,12.10814571,25.90317345,84.87437439,91.15000153,24.55516243,84.84999847,36.77374649,111.4870377,39.32289886,56.31347656,67.43000031,35.7277832,58.4523735,58.67166901,26.63857269,133.7375031,19.94183731,72.26573181,103.9686203,23.75201607,43.34043503,32.18448257,82.80664063,45.73768234,22,67.15531921,42.43593597,93.20973206,39.93782043,44.05858994,23.47480774,68.00447845,106.2096558,131.1190033,73.34465027,38.5,28.09188461,36.45691681,61.74018097,83.15751648,77.48551178,21.04000092,40.96324158,129.8709259,26.0135479,49.70178986,53.45460129,68.2758255,88.17046356,35.91450119,25.37999916,63.45954895,52.39756012,104.5528412,9.050000191,34.03878403,40.64806747,165.2899933,22.4364872,75.37000275,2.130000114,86.72541809,25.71147537,32.17785645,47.77977371,265.5202637,30.03318977,96.01772308,50.55875397,15.88601398,141.0767975,77.91585541,23.69344139,106.0364532,1882.949951,27-01-2016
21.76041031,47.50640488,635.3499756,730.960022,748.2999878,37.93999863,109.1100006,66.91999817,18.11727905,66.92165375,89.36331177,49.73819351,57.28872299,27.44543839,34.24000168,88.240242,80.87832642,68.89141846,102.9471588,108.8463364,12.26221657,26.04221344,84.96897125,94.41000366,24.55062866,84.51999664,33.35715866,112.2604523,39.30685806,57.84466553,65.69000244,36.13521194,59.77219391,57.43355942,26.67611313,126.1954727,19.66948128,67.89055634,107.3846664,23.50297737,42.33371735,32.57170105,84.1099472,44.7285881,22.5,69.27584839,42.54674149,94.23362732,36.62717438,44.79451752,23.82011795,66.58117676,107.536499,132.7698517,72.23830414,38.66999817,28.15529633,36.68717194,62.72359467,84.02373505,77.59635925,20.29000092,41.25841141,128.0411072,25.73339272,48.72777176,52.97819138,69.02766418,88.26034546,35.80810165,25.37000084,63.16757202,53.90683746,105.8353348,8.739999771,33.47392273,42.24423599,167.3000031,22.25961494,63.56999969,2.079999924,87.92926788,26.0593338,32.75791168,48.13612747,262.9276428,30.76289749,97.01792908,52.95145416,15.50490189,144.1420898,79.13564301,23.28994942,106.3843994,1893.359985,28-01-2016
22.51204109,50.27138519,587,742.9500122,761.3499756,38.24000168,112.2099991,67.02999878,18.72035027,71.90240479,91.25946808,51.66588974,59.19776535,28.65871429,36.13999939,90.40073395,86.30705261,70.50537109,106.440979,111.9440613,12.81505775,26.95459747,86.88954163,91.83999634,25.27656937,89.12999725,34.39303207,116.0404892,40.07680511,58.61025238,68.05999756,36.43231201,60.4398613,58.50658798,27.07403946,130.0255585,20.24824524,69.91464233,113.621933,23.72867203,43.59855652,33.47517395,85.7066803,43.96776199,23.21999931,69.71929932,43.64478683,96.48251343,38.09762955,46.37147903,24.57013321,68.39185333,108.7667007,134.1278076,74.19068909,40.15000153,29.42843246,37.7531662,64.36858368,88.5092392,79.47232819,23.87999916,42.36325073,131.8215027,26.54914665,49.92518997,53.84440613,69.76397705,89.87815857,37.74967575,26.03000069,65.38477325,55.25247192,107.7365952,8.770000458,34.08789825,42.82087326,171.3600006,22.88751221,62.20999908,2.200000048,91.25421143,26.77018356,32.95869446,48.82655716,276.1896667,31.02527809,99.0579834,53.95708466,16.40656471,148.2719879,80.61074829,23.95618057,109.4637146,1940.23999,29-01-2016
22.30158234,49.92461395,574.8099976,752,770.7700195,39.38800049,115.0899963,67.02999878,18.81248665,71.79620361,91.19831085,51.11016083,60.21471405,28.66849709,37.08000183,89.76861572,85.91928864,70.01342773,107.115715,112.6116562,12.65192318,26.78080559,87.26798248,94.08999634,25.32194519,89.61000061,34.93823624,116.3981934,40.71038818,59.69719315,68.44000244,36.50021362,59.22873688,57.98132706,27.16414261,128.6766968,19.98439407,69.29592896,116.995491,23.47962952,43.66739273,33.4844017,85.47364807,43.55932236,23.53000069,68.76789093,43.29724884,97.15900421,38.74464417,46.2838707,24.84946823,69.22963715,109.4960175,134.2432251,74.09770203,40.59000015,29.23331451,37.88107681,65.34304047,88.23478699,80.22272491,23.30999947,42.11867142,131.8387909,26.8045826,49.89838028,52.68366623,69.29893494,90.35450745,37.66101074,25.59000015,66.29720306,55.82526779,109.0190887,8.760000229,34.08789825,42.75401306,175.75,22.73716736,61.95999908,2.140000105,92.07590485,26.42988205,32.46044922,48.75418854,274.4230042,30.76289749,99.08973694,54.35586166,16.40656471,146.519043,80.80931854,23.72159386,110.2204971,1939.380005,01-02-2016
